file_name,image_id,year,month,day,final_date,method,elapsed_sec,original_512_predict_sec,rotation_270_predict_sec,highres_1024_predict_sec,clahe_predict_sec,truth_group,true_year,true_month,true_day,true_final_date,year_correct,month_correct,day_correct,final_date_correct
000018.jpg,000018,2026,04,24,2026-04-24,original_512,1.8731619000000137,1.6737934000002497,,,,complete,2026,04,24,2026-04-24,True,True,True,True
000026.jpg,000026,2025,11,13,2025-11-13,original_512,1.3444635000005292,1.1696920000003956,,,,complete,2025,11,13,2025-11-13,True,True,True,True
000030.jpg,000030,2028,08,17,2028-08-17,original_512,2.5932207999994716,2.3925442999998268,,,,complete,2028,08,17,2028-08-17,True,True,True,True
000060.jpg,000060,2026,04,30,2026-04-30,original_512,0.8606043999998292,0.6857515000001513,,,,complete,2026,04,30,2026-04-30,True,True,True,True
000075.jpg,000075,2026,01,06,2026-01-06,original_512,1.2612269000001106,1.103658799999721,,,,complete,2026,01,06,2026-01-06,True,True,True,True
000124.jpg,000124,2026,01,02,2026-01-02,original_512,0.8456254000002446,0.6668861000007382,,,,complete,2026,01,02,2026-01-02,True,True,True,True
000137.jpg,000137,2026,03,26,2026-03-26,original_512,1.8962541000000783,1.7108674999999494,,,,complete,2026,03,26,2026-03-26,True,True,True,True
000139.jpg,000139,2026,07,26,2026-07-26,original_512,0.817802099999426,0.6285753999991357,,,,complete,2026,07,26,2026-07-26,True,True,True,True
000157.jpg,000157,NONE,NONE,NONE,NONE,original_no_candidate,4.21971399999984,0.5387815999993109,0.635184499999923,2.1332578000001376,0.49735839999993914,complete,2027,08,07,2027-08-07,False,False,False,False
000189.jpg,000189,2026,08,25,2026-08-25,original_512,1.886950600000091,1.6913445999998657,,,,complete,2026,08,25,2026-08-25,True,True,True,True
000194.jpg,000194,2027,04,23,2027-04-23,original_512,1.9189939999996568,1.7001361000002362,,,,complete,2027,04,23,2027-04-23,True,True,True,True
000245.jpg,000245,2026,02,24,2026-02-24,original_512,1.6527181000001292,1.4822573000001285,,,,complete,2026,02,24,2026-02-24,True,True,True,True
000268.jpg,000268,2026,07,14,2026-07-14,original_512,0.8165415999992547,0.6424448999996457,,,,complete,2026,07,14,2026-07-14,True,True,True,True
000280.jpg,000280,2026,03,23,2026-03-23,original_512,1.0813433000002988,0.9195583000000624,,,,complete,2026,03,23,2026-03-23,True,True,True,True
000321.jpg,000321,2025,10,29,2025-10-29,original_512,0.7617444000006799,0.5977457999997569,,,,complete,2025,10,29,2025-10-29,True,True,True,True
000331.jpg,000331,2025,10,31,2025-10-31,original_512,0.974094199999854,0.8192755000000034,,,,complete,2025,10,31,2025-10-31,True,True,True,True
000352.jpg,000352,2026,08,27,2026-08-27,original_512,1.26456700000017,1.1079939000001104,,,,complete,2026,08,27,2026-08-27,True,True,True,True
000366.jpg,000366,2026,09,05,2026-09-05,original_512,1.714006199999858,1.5381170000000566,,,,complete,2026,09,05,2026-09-05,True,True,True,True
000383.jpg,000383,2026,04,03,2026-04-03,original_512,2.040202999999565,1.8594904999999926,,,,complete,2026,04,03,2026-04-03,True,True,True,True
000438.jpg,000438,NONE,NONE,NONE,NONE,original_no_candidate,6.133465599999909,0.8723411000000851,0.9475075000000288,3.234708299999511,0.8584207000003516,complete,2026,02,19,2026-02-19,False,False,False,False
000447.jpg,000447,2025,11,22,2025-11-22,original_512,1.0141133000006448,0.8805093999999372,,,,complete,2025,11,22,2025-11-22,True,True,True,True
000462.jpg,000462,2027,05,27,2027-05-27,original_512,1.9811804999999367,1.844072099999721,,,,complete,2027,05,27,2027-05-27,True,True,True,True
000463.jpg,000463,2027,02,14,2027-02-14,original_512,1.663803899999948,1.4887680000001637,,,,complete,2027,02,14,2027-02-14,True,True,True,True
