file_name,image_id,year,month,day,final_date,method,elapsed_sec,original_512_predict_sec,rotation_270_predict_sec,highres_1024_predict_sec,clahe_predict_sec,truth_group,true_year,true_month,true_day,true_final_date,year_correct,month_correct,day_correct,final_date_correct
000157.jpg,000157,NONE,NONE,NONE,NONE,original_no_candidate,4.21971399999984,0.5387815999993109,0.635184499999923,2.1332578000001376,0.49735839999993914,complete,2027,08,07,2027-08-07,False,False,False,False
000438.jpg,000438,NONE,NONE,NONE,NONE,original_no_candidate,6.133465599999909,0.8723411000000851,0.9475075000000288,3.234708299999511,0.8584207000003516,complete,2026,02,19,2026-02-19,False,False,False,False
000515.jpg,000515,2022,09,22,2022-09-22,rotation_270,2.657067399999505,1.3275797000005696,1.2897637999994913,,,partial_none,2026,01,NONE,2026-01-NONE,False,False,False,False
000715.jpg,000715,NONE,NONE,NONE,NONE,original_no_candidate,4.17410800000016,0.8244310999998561,0.7396577999998044,1.8247621999998955,0.7205749999993714,complete,2026,06,26,2026-06-26,False,False,False,False
000763.jpg,000763,NONE,NONE,NONE,NONE,original_no_candidate,5.404588100000183,1.2517789999992601,1.0858211000004303,1.820471400000315,1.1931408000000374,partial_none,NONE,11,12,NONE-11-12,True,False,False,False
000789.jpeg,000789,NONE,NONE,NONE,NONE,original_no_candidate,6.374287799999365,1.2625459000000774,0.9715497999995932,2.920453699999598,0.9273271000001841,partial_none,NONE,12,19,NONE-12-19,True,False,False,False
000820.jpeg,000820,NONE,NONE,NONE,NONE,original_no_candidate,11.216131700000005,2.356903899999452,2.279463200000464,3.8984381000000212,2.3659207000000606,complete,2026,05,18,2026-05-18,False,False,False,False
001205.jpg,001205,NONE,NONE,NONE,NONE,original_no_candidate,5.016770700000052,1.1344081000006554,0.9724109000007957,1.9805452000000514,0.9091115999999602,partial_none,2021,05,NONE,2021-05-NONE,False,False,True,False
001214.jpg,001214,NONE,NONE,NONE,NONE,original_no_candidate,8.603536099999474,2.3711507999996684,1.713934700000209,2.6055622000003495,1.887384700000439,complete,2021,05,15,2021-05-15,False,False,False,False
001515.jpg,001515,2022,08,18,2022-08-18,original_512,1.1826459000003524,1.1715098000004218,,,,complete,2022,08,16,2022-08-16,True,True,False,False
001554.jpg,001554,NONE,NONE,NONE,NONE,original_no_candidate,3.986547999999857,0.6481739999999263,0.7376432000000932,2.0628743999996004,0.4918033000003561,complete,2020,06,03,2020-06-03,False,False,False,False
001587.jpg,001587,2021,04,27,2021-04-27,original_512,0.762405100000251,0.7513987000002089,,,,complete,2021,04,20,2021-04-20,True,True,False,False
001741.jpg,001741,2022,11,13,2022-11-13,original_512,0.9133343000003151,0.9042913999992379,,,,complete,2022,11,01,2022-11-01,True,True,False,False
