image_id,file_name,historical_prediction,fresh_prediction,historical_truth,canonical_truth,historical_correct,historical_canonical_correct,fresh_historical_truth_correct,fresh_canonical_correct,normalization_changed_verdict,inference_changed_verdict,prediction_changed,historical_method,fresh_method
18,000018.jpg,2026-04-24,2026-04-24,2026-04-24,2026-04-24,True,True,True,True,False,False,False,original_512,original_512
26,000026.jpg,2025-11-13,2025-11-13,2025-11-13,2025-11-13,True,True,True,True,False,False,False,original_512,original_512
30,000030.jpg,2028-08-17,2028-08-17,2028-08-17,2028-08-17,True,True,True,True,False,False,False,original_512,original_512
60,000060.jpg,2026-04-30,2026-04-30,2026-04-30,2026-04-30,True,True,True,True,False,False,False,original_512,original_512
75,000075.jpg,2026-01-06,2026-01-06,2026-01-06,2026-01-06,True,True,True,True,False,False,False,original_512,original_512
124,000124.jpg,2026-01-02,2026-01-02,2026-01-02,2026-01-02,True,True,True,True,False,False,False,original_512,original_512
137,000137.jpg,2026-03-26,2026-03-26,2026-03-26,2026-03-26,True,True,True,True,False,False,False,original_512,original_512
139,000139.jpg,2026-07-26,2026-07-26,2026-07-26,2026-07-26,True,True,True,True,False,False,False,original_512,original_512
157,000157.jpg,NONE,NONE,2027-08-07,2027-08-07,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
189,000189.jpg,2026-08-25,2026-08-25,2026-08-25,2026-08-25,True,True,True,True,False,False,False,original_512,original_512
194,000194.jpg,2027-04-23,2027-04-23,2027-04-23,2027-04-23,True,True,True,True,False,False,False,original_512,original_512
245,000245.jpg,2026-02-24,2026-02-24,2026-02-24,2026-02-24,True,True,True,True,False,False,False,original_512,original_512
268,000268.jpg,2026-07-14,2026-07-14,2026-07-14,2026-07-14,True,True,True,True,False,False,False,original_512,original_512
280,000280.jpg,2026-03-23,2026-03-23,2026-03-23,2026-03-23,True,True,True,True,False,False,False,original_512,original_512
321,000321.jpg,2025-10-29,2025-10-29,2025-10-29,2025-10-29,True,True,True,True,False,False,False,original_512,original_512
331,000331.jpg,2025-10-31,2025-10-31,2025-10-31,2025-10-31,True,True,True,True,False,False,False,original_512,original_512
352,000352.jpg,2026-08-27,2026-08-27,2026-08-27,2026-08-27,True,True,True,True,False,False,False,original_512,original_512
366,000366.jpg,2026-09-05,2026-09-05,2026-09-05,2026-09-05,True,True,True,True,False,False,False,original_512,original_512
383,000383.jpg,2026-04-03,2026-04-03,2026-04-03,2026-04-03,True,True,True,True,False,False,False,original_512,original_512
438,000438.jpg,NONE,NONE,2026-02-19,2026-02-19,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
447,000447.jpg,2025-11-22,2025-11-22,2025-11-22,2025-11-22,True,True,True,True,False,False,False,original_512,original_512
462,000462.jpg,2027-05-27,2027-05-27,2027-05-27,2027-05-27,True,True,True,True,False,False,False,original_512,original_512
463,000463.jpg,2027-02-14,2027-02-14,2027-02-14,2027-02-14,True,True,True,True,False,False,False,original_512,original_512
485,000485.jpg,2027-09-17,2027-09-17,2027-09-17,2027-09-17,True,True,True,True,False,False,False,original_512,original_512
493,000493.jpg,2026-06-17,2026-06-17,2026-06-17,2026-06-17,True,True,True,True,False,False,False,original_512,original_512
515,000515.jpg,2022-09-22,2022-09-22,2026-01-none,2026-01-NONE,False,False,False,False,False,False,False,rotation_270,rotation_270
548,000548.jpg,2026-05-26,2026-05-26,2026-05-26,2026-05-26,True,True,True,True,False,False,False,original_512,original_512
561,000561.jpg,2028-08-07,2028-08-07,2028-08-07,2028-08-07,True,True,True,True,False,False,False,rotation_270,rotation_270
612,000612.jpg,2026-05-07,2026-05-07,2026-05-07,2026-05-07,True,True,True,True,False,False,False,original_512,original_512
645,000645.jpg,2026-05-13,2026-05-13,2026-05-13,2026-05-13,True,True,True,True,False,False,False,original_512,original_512
653,000653.jpg,2027-01-19,2027-01-19,2027-01-19,2027-01-19,True,True,True,True,False,False,False,original_512,original_512
658,000658.jpg,2026-01-16,2026-01-16,2026-01-16,2026-01-16,True,True,True,True,False,False,False,original_512,original_512
678,000678.jpg,2026-07-24,2026-07-24,2026-07-24,2026-07-24,True,True,True,True,False,False,False,original_512,original_512
715,000715.jpg,NONE,NONE,2026-06-26,2026-06-26,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
725,000725.jpg,2026-04-16,2026-04-16,2026-04-16,2026-04-16,True,True,True,True,False,False,False,original_512,original_512
729,000729.jpg,2026-01-07,2026-01-07,2026-01-07,2026-01-07,True,True,True,True,False,False,False,rotation_270,rotation_270
763,000763.jpg,NONE,NONE,none-11-12,NONE-11-12,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
789,000789.jpeg,NONE,NONE,none-12-19,NONE-12-19,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
820,000820.jpeg,NONE,NONE,2026-05-18,2026-05-18,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
853,000853.jpeg,2026-09-24,2026-09-24,2026-09-24,2026-09-24,True,True,True,True,False,False,False,original_512,original_512
879,000879.jpg,2021-05-11,2021-05-11,2021-05-11,2021-05-11,True,True,True,True,False,False,False,original_512,original_512
912,000912.jpg,2022-05-05,2022-05-05,2022-05-05,2022-05-05,True,True,True,True,False,False,False,original_512,original_512
922,000922.jpg,2022-02-26,2022-02-26,2022-02-26,2022-02-26,True,True,True,True,False,False,False,highres_1024,highres_1024
957,000957.jpg,2021-02-22,2021-02-22,2021-02-22,2021-02-22,True,True,True,True,False,False,False,original_512,original_512
967,000967.jpg,2022-10-17,2022-10-17,2022-10-17,2022-10-17,True,True,True,True,False,False,False,original_512,original_512
1014,001014.jpg,2022-01-11,2022-01-11,2022-01-11,2022-01-11,True,True,True,True,False,False,False,original_512,original_512
1034,001034.jpg,2021-06-28,2021-06-28,2021-06-28,2021-06-28,True,True,True,True,False,False,False,original_512,original_512
1075,001075.jpg,2021-09-30,2021-09-30,2021-09-30,2021-09-30,True,True,True,True,False,False,False,original_512,original_512
1108,001108.jpg,2021-02-28,2021-02-28,2021-02-28,2021-02-28,True,True,True,True,False,False,False,original_512,original_512
1113,001113.jpg,2023-11-15,2023-11-15,2023-11-15,2023-11-15,True,True,True,True,False,False,False,original_512,original_512
1157,001157.jpg,2021-02-07,2021-02-07,2021-02-07,2021-02-07,True,True,True,True,False,False,False,original_512,original_512
1173,001173.jpg,2021-09-NONE,2021-09-NONE,2021-09-none,2021-09-NONE,False,True,False,True,True,False,False,original_512,original_512
1175,001175.jpg,2021-09-07,2021-09-07,2021-09-07,2021-09-07,True,True,True,True,False,False,False,highres_1024,highres_1024
1205,001205.jpg,NONE,NONE,2021-05-none,2021-05-NONE,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1214,001214.jpg,NONE,NONE,2021-05-15,2021-05-15,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1225,001225.jpg,2022-06-27,2022-06-27,2022-06-27,2022-06-27,True,True,True,True,False,False,False,original_512,original_512
1277,001277.jpg,2021-11-04,2021-11-04,2021-11-04,2021-11-04,True,True,True,True,False,False,False,original_512,original_512
1321,001321.jpg,2022-02-15,2022-02-15,2022-02-15,2022-02-15,True,True,True,True,False,False,False,original_512,original_512
1380,001380.jpg,2021-04-09,2021-04-09,2021-04-09,2021-04-09,True,True,True,True,False,False,False,original_512,original_512
1393,001393.jpg,2022-07-14,2022-07-14,2022-07-14,2022-07-14,True,True,True,True,False,False,False,original_512,original_512
1394,001394.jpg,2021-09-01,2021-09-01,2021-09-01,2021-09-01,True,True,True,True,False,False,False,original_512,original_512
1399,001399.jpg,2021-07-23,2021-07-23,2021-07-23,2021-07-23,True,True,True,True,False,False,False,original_512,original_512
1406,001406.jpg,2021-07-31,2021-07-31,2021-07-31,2021-07-31,True,True,True,True,False,False,False,original_512,original_512
1426,001426.jpg,2020-04-17,2020-04-17,2020-04-17,2020-04-17,True,True,True,True,False,False,False,original_512,original_512
1427,001427.jpg,2020-08-12,2020-08-12,2020-08-12,2020-08-12,True,True,True,True,False,False,False,original_512,original_512
1450,001450.jpg,2022-04-26,2022-04-26,2022-04-26,2022-04-26,True,True,True,True,False,False,False,original_512,original_512
1472,001472.jpg,2022-02-17,2022-02-17,2022-02-17,2022-02-17,True,True,True,True,False,False,False,original_512,original_512
