image_id,file_name,type,truth,prediction,cascade_result_stage,stages_run,ocr_original_512,ocr_rotation_270,ocr_highres_1024,ocr_clahe,label_source,labeler_note
50,000050.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2025-09-30,NONE,original_no_candidate,4,소비기한 | 후면표기일까지 | 543-1(가동) | 2014035624181 | 080-039-8585 | M801204,소비기한 | 543-1(가동) | 후면표기일까지 | 080-039-8585,소비기한 | 후면표기일까지 | 543-1(가동) | 2014035624181 | 080-039-8585,483200 | 소비기한 | 후면표기일까지 | 543-1(가동) | 2014035624181 | 080-039-855,candidate/incoming_432,
90,000090.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-09-01,NONE,original_no_candidate,4,21:05 | 소비기한,(날짜 관련 글자 없음),소비기한,21:05 | 소비기한,candidate/incoming_432,
157,000157.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2027-07-08,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),approved/existing_300;incoming_432,
190,000190.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-11-22,NONE,original_no_candidate,4,0025052 | 272211.26,72211.26,(B5)114615 | 2.6 | 0.3 | 2.6 | 7.6 | 0.3,n221126,candidate/incoming_432,
214,000214.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-08-13,2026-08-01,original_512,1,8:1: | 2026-08.1B14:16,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
231,000231.jpg,D2 날짜는 읽었지만 숫자 오인식,2028-05-27,2023-05-27,original_512,1,15.90 | 20230527 | 까지 | 까지,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
232,000232.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2027-11-26,NONE,original_no_candidate,4,"15,930 | 사용기한 및조재PLP2:","15,930","15,920 | 사용기한 및 제조재(P1,P2):",기한재P(P2,candidate/incoming_432,
233,000233.jpg,D2 날짜는 읽었지만 숫자 오인식,2028-01-13,2028-01-18,clahe,4,(날짜 관련 글자 없음),2028011,3.64 | (30/20m21~7.8/0) | 2028011,20280118,candidate/incoming_432,
266,000266.jpg,D2 날짜는 읽었지만 숫자 오인식,2025-12-04,2020-05-12,original_512,1,"20/5.12.04까X! | 건어포류/황태(러시아) 64.8%,마라소스4%/내용량: 30g",(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,내가 봐도 잘 안보임;; 빨강색이라 배경 어두움
368,000368.jpg,D3 날짜 일부만 읽음(잘림·누락),2026-09-22,NONE,original_no_candidate,4,"포화지방4.2g | 1일영영정분 기준차에 대방비울(%)은 2,000kC3) | 0.0.20119 77 | 까지 | 소비기한 뒷면 상단표시일까지",포화지방4.2928%,포화지방4.2g | 1일 영양성분 기준치에 대한 비율(%)은 2.000kcal | 까지 | 소비기한 뒷면 상단표시일까지 포장재질,"포화지방4.2g | 1일영영정분 기준차에 대방E을(%)은 2,000kC) | 206.09.2206:19 F3.7 | 까지 | 소비기한뒷면 상단표시일까지",candidate/incoming_432,
