file_name,image_id,year,month,day,final_date,method,elapsed_sec,original_512_predict_sec,rotation_270_predict_sec,highres_1024_predict_sec,clahe_predict_sec,truth_group,true_year,true_month,true_day,true_final_date,year_correct,month_correct,day_correct,final_date_correct
000018.jpg,000018,2026,04,24,2026-04-24,original_512,1.1709985999914352,1.0402394000120694,,,,complete,2026,04,24,2026-04-24,True,True,True,True
000026.jpg,000026,2025,11,13,2025-11-13,original_512,0.7833413999906043,0.6547193000005791,,,,complete,2025,11,13,2025-11-13,True,True,True,True
000030.jpg,000030,2028,08,17,2028-08-17,original_512,1.6546008000004804,1.518179599996074,,,,complete,2028,08,17,2028-08-17,True,True,True,True
000060.jpg,000060,2026,04,30,2026-04-30,original_512,0.8958664999954635,0.7523760000040056,,,,complete,2026,04,30,2026-04-30,True,True,True,True
000075.jpg,000075,2026,01,06,2026-01-06,original_512,1.1590411000070162,1.030968599996413,,,,complete,2026,01,06,2026-01-06,True,True,True,True
000124.jpg,000124,2026,01,02,2026-01-02,original_512,0.8248865999921691,0.6662412000005133,,,,complete,2026,01,02,2026-01-02,True,True,True,True
000137.jpg,000137,2026,03,26,2026-03-26,original_512,1.422917599993525,1.2664418000058504,,,,complete,2026,03,26,2026-03-26,True,True,True,True
000139.jpg,000139,2026,07,26,2026-07-26,original_512,0.7158898000052432,0.5650486000085948,,,,complete,2026,07,26,2026-07-26,True,True,True,True
000157.jpg,000157,NONE,NONE,NONE,NONE,original_no_candidate,4.297107999998843,0.5315596000000369,0.6097788000042783,2.2081558000063524,0.6313511000043945,complete,2027,08,07,2027-08-07,False,False,False,False
000189.jpg,000189,2026,08,25,2026-08-25,original_512,1.2388120999967214,1.087490699996124,,,,complete,2026,08,25,2026-08-25,True,True,True,True
000194.jpg,000194,2027,04,23,2027-04-23,original_512,1.1444453000003705,0.9868859999987762,,,,complete,2027,04,23,2027-04-23,True,True,True,True
000245.jpg,000245,2026,02,24,2026-02-24,original_512,1.1875188999983948,1.0468696000025375,,,,complete,2026,02,24,2026-02-24,True,True,True,True
000268.jpg,000268,2026,07,14,2026-07-14,original_512,0.7231345000036526,0.595890500000678,,,,complete,2026,07,14,2026-07-14,True,True,True,True
000280.jpg,000280,2026,03,23,2026-03-23,original_512,0.84471809999377,0.7126018999988446,,,,complete,2026,03,23,2026-03-23,True,True,True,True
000321.jpg,000321,2025,10,29,2025-10-29,original_512,0.7132658000045922,0.5823776000033831,,,,complete,2025,10,29,2025-10-29,True,True,True,True
000331.jpg,000331,2025,10,31,2025-10-31,original_512,0.9065488000051118,0.772290900000371,,,,complete,2025,10,31,2025-10-31,True,True,True,True
000352.jpg,000352,2026,08,27,2026-08-27,original_512,0.9962531999917701,0.865091499988921,,,,complete,2026,08,27,2026-08-27,True,True,True,True
000366.jpg,000366,2026,09,05,2026-09-05,original_512,1.3547647999948822,1.2229590000060853,,,,complete,2026,09,05,2026-09-05,True,True,True,True
000383.jpg,000383,2026,04,03,2026-04-03,original_512,1.3431328000006033,1.2000166999932844,,,,complete,2026,04,03,2026-04-03,True,True,True,True
000438.jpg,000438,NONE,NONE,NONE,NONE,original_no_candidate,4.140351299996837,0.6472702000028221,0.5101135000004433,2.1271134999988135,0.6277772000030382,complete,2026,02,19,2026-02-19,False,False,False,False
000447.jpg,000447,2025,11,22,2025-11-22,original_512,0.8135473000002094,0.6768173000018578,,,,complete,2025,11,22,2025-11-22,True,True,True,True
000462.jpg,000462,2027,05,27,2027-05-27,original_512,1.3168409999925643,1.1772302000026684,,,,complete,2027,05,27,2027-05-27,True,True,True,True
000463.jpg,000463,2027,02,14,2027-02-14,original_512,1.3226846999896225,1.1780695999914315,,,,complete,2027,02,14,2027-02-14,True,True,True,True
000485.jpg,000485,2027,09,17,2027-09-17,original_512,0.7777251999941655,0.6112791000050493,,,,complete,2027,09,17,2027-09-17,True,True,True,True
000493.jpg,000493,2026,06,17,2026-06-17,original_512,1.37004419999721,1.2287718000006862,,,,complete,2026,06,17,2026-06-17,True,True,True,True
000515.jpg,000515,2026,01,NONE,2026-01-NONE,original_512,1.0751149999996414,1.0524753000063356,,,,partial_none,2026,01,NONE,2026-01-NONE,True,True,True,True
000548.jpg,000548,2026,05,26,2026-05-26,original_512,0.9608719000098063,0.9376958000066224,,,,complete,2026,05,26,2026-05-26,True,True,True,True
000561.jpg,000561,2028,08,07,2028-08-07,rotation_270,2.12096320001001,0.7483605000015814,1.3472653000062564,,,complete,2028,08,07,2028-08-07,True,True,True,True
000612.jpg,000612,2026,05,07,2026-05-07,original_512,0.8045870999922045,0.7845624999899883,,,,complete,2026,05,07,2026-05-07,True,True,True,True
000645.jpg,000645,2026,05,13,2026-05-13,original_512,0.8543981000111671,0.7588838999945438,,,,complete,2026,05,13,2026-05-13,True,True,True,True
000653.jpg,000653,2027,01,19,2027-01-19,original_512,0.44407219999993686,0.41829290000896435,,,,complete,2027,01,19,2027-01-19,True,True,True,True
000658.jpg,000658,2026,01,16,2026-01-16,original_512,0.5488684000010835,0.5199629000126151,,,,complete,2026,01,16,2026-01-16,True,True,True,True
000678.jpg,000678,2026,07,24,2026-07-24,original_512,0.7454315000068163,0.7070579999999609,,,,complete,2026,07,24,2026-07-24,True,True,True,True
000715.jpg,000715,2026,06,26,2026-06-26,original_512,0.7321375000028638,0.7004920999897877,,,,complete,2026,06,26,2026-06-26,True,True,True,True
000725.jpg,000725,2026,04,16,2026-04-16,original_512,0.5892203999974299,0.5444582000054652,,,,complete,2026,04,16,2026-04-16,True,True,True,True
000729.jpg,000729,2026,01,07,2026-01-07,rotation_270,1.7026105999975698,0.7685961999959545,0.8963175999961095,,,complete,2026,01,07,2026-01-07,True,True,True,True
000763.jpg,000763,NONE,NONE,NONE,NONE,original_no_candidate,4.344492699994589,1.012869199999841,1.0854090999928303,1.3791310999949928,0.8321949999954086,partial_none,NONE,11,12,NONE-11-12,True,False,False,False
000789.jpeg,000789,NONE,12,19,NONE-12-19,original_512,1.0975719999987632,0.9514962999965064,,,,partial_none,NONE,12,19,NONE-12-19,True,True,True,True
000820.jpeg,000820,NONE,NONE,NONE,NONE,original_no_candidate,8.758557100009057,1.6122037000022829,1.9373026999965077,3.12761799999862,1.8263140000053681,complete,2026,05,18,2026-05-18,False,False,False,False
000853.jpeg,000853,2026,09,24,2026-09-24,original_512,0.7254917999962345,0.5714907999936258,,,,complete,2026,09,24,2026-09-24,True,True,True,True
000879.jpg,000879,2021,05,11,2021-05-11,original_512,2.945091499990667,2.923993200005498,,,,complete,2021,05,11,2021-05-11,True,True,True,True
000912.jpg,000912,2022,05,05,2022-05-05,original_512,1.5709491999878082,1.5588827999890782,,,,complete,2022,05,05,2022-05-05,True,True,True,True
000922.jpg,000922,2022,02,26,2022-02-26,highres_1024,2.0273861000023317,0.5446504999999888,0.4901056999951834,0.9791094000102021,,complete,2022,02,26,2022-02-26,True,True,True,True
000957.jpg,000957,2021,02,22,2021-02-22,original_512,1.487821199989412,1.4690330000012182,,,,complete,2021,02,22,2021-02-22,True,True,True,True
000967.jpg,000967,2022,10,17,2022-10-17,original_512,1.1707076000020606,1.1438344000052894,,,,complete,2022,10,17,2022-10-17,True,True,True,True
001014.jpg,001014,2022,01,11,2022-01-11,original_512,0.8993749999935972,0.8884413000050699,,,,complete,2022,01,11,2022-01-11,True,True,True,True
001034.jpg,001034,2021,06,28,2021-06-28,original_512,1.8758178999996744,1.8581717000051867,,,,complete,2021,06,28,2021-06-28,True,True,True,True
001075.jpg,001075,2021,09,30,2021-09-30,original_512,2.0726090999960434,2.0591597000020556,,,,complete,2021,09,30,2021-09-30,True,True,True,True
001108.jpg,001108,2021,02,28,2021-02-28,original_512,0.6692267000034917,0.6589252999983728,,,,complete,2021,02,28,2021-02-28,True,True,True,True
