file_name,image_id,year,month,day,final_date,method,elapsed_sec,original_512_predict_sec,rotation_270_predict_sec,highres_1024_predict_sec,clahe_predict_sec,truth_group,true_year,true_month,true_day,true_final_date,year_correct,month_correct,day_correct,final_date_correct
000157.jpg,000157,NONE,NONE,NONE,NONE,original_no_candidate,4.297107999998843,0.5315596000000369,0.6097788000042783,2.2081558000063524,0.6313511000043945,complete,2027,08,07,2027-08-07,False,False,False,False
000438.jpg,000438,NONE,NONE,NONE,NONE,original_no_candidate,4.140351299996837,0.6472702000028221,0.5101135000004433,2.1271134999988135,0.6277772000030382,complete,2026,02,19,2026-02-19,False,False,False,False
000763.jpg,000763,NONE,NONE,NONE,NONE,original_no_candidate,4.344492699994589,1.012869199999841,1.0854090999928303,1.3791310999949928,0.8321949999954086,partial_none,NONE,11,12,NONE-11-12,True,False,False,False
000820.jpeg,000820,NONE,NONE,NONE,NONE,original_no_candidate,8.758557100009057,1.6122037000022829,1.9373026999965077,3.12761799999862,1.8263140000053681,complete,2026,05,18,2026-05-18,False,False,False,False
001214.jpg,001214,NONE,NONE,NONE,NONE,original_no_candidate,6.07222339999862,1.6677083999966271,1.1539099999936298,1.8443227999960072,1.3839867000060622,complete,2021,05,15,2021-05-15,False,False,False,False
001515.jpg,001515,2022,08,18,2022-08-18,original_512,0.8925770999921951,0.882306300001801,,,,complete,2022,08,16,2022-08-16,True,True,False,False
001587.jpg,001587,2021,04,27,2021-04-27,original_512,0.5418724000046495,0.5340602000069339,,,,complete,2021,04,20,2021-04-20,True,True,False,False
002019.jpg,002019,NONE,NONE,NONE,NONE,original_no_candidate,2.41650180000579,0.48842389999481384,0.5090161999978591,1.058359400005429,0.34685829999216367,complete,2022,03,09,2022-03-09,False,False,False,False
002278.jpg,002278,NONE,NONE,NONE,NONE,original_no_candidate,2.637380900006974,0.6126279000018258,0.43118119999417104,0.917867500000284,0.6578138000040781,partial_none,2023,07,NONE,2023-07-NONE,False,False,True,False
002328.jpg,002328,2020,10,21,2020-10-21,original_512,1.1170168000098784,1.0978235000075074,,,,complete,2021,10,20,2021-10-20,False,True,False,False
002492.jpg,002492,NONE,NONE,NONE,NONE,original_no_candidate,4.821779999998398,1.1478839999908814,1.292474999994738,1.378352100000484,0.9829861000034725,complete,2022,08,09,2022-08-09,False,False,False,False
002726.jpg,002726,2017,03,22,2017-03-22,rotation_270,0.9692450000002282,0.4868324999988545,0.45550870000442956,,,complete,2022,03,17,2022-03-17,False,True,False,False
002814.jpg,002814,NONE,NONE,NONE,NONE,original_no_candidate,2.532721399998991,0.4882313999987673,0.5751540000055684,0.8640279000101145,0.5899302000034368,complete,2021,04,02,2021-04-02,False,False,False,False
002899.jpg,002899,2021,11,NONE,2021-11-NONE,clahe,2.7859496000019135,0.5801800999906845,0.5304984999966109,0.9375511000107508,0.7247916000051191,complete,2021,11,09,2021-11-09,True,True,False,False
003014.jpg,003014,NONE,NONE,NONE,NONE,original_no_candidate,3.324829100005445,0.7953145000064978,0.7585314999887487,0.9941741000075126,0.7606232999969507,complete,2021,06,12,2021-06-12,False,False,False,False
