image_id,method,pred,truth,correct
7,original_512,2026-06-25,2026-06-25,True
15,original_512,2026-03-01,2026-03-01,True
18,original_512,2026-04-24,2026-04-24,True
21,original_512,2025-10-10,2025-10-10,True
22,original_512,2025-10-14,2025-10-14,True
26,original_512,2025-11-13,2025-11-13,True
30,original_512,2028-08-17,2028-08-17,True
36,original_512,2026-08-26,2026-08-26,True
44,highres_1024,2026-02-07,2026-02-07,True
50,original_no_candidate,NONE,2025-09-30,False
53,highres_1024,2025-12-20,2025-12-20,True
58,original_512,2027-03-27,2027-03-27,True
60,original_512,2026-04-30,2026-04-30,True
63,original_512,2026-06-16,2026-06-16,True
71,original_512,2027-07-20,2027-07-20,True
75,original_512,2026-01-06,2026-01-06,True
79,original_512,2026-01-31,2026-01-31,True
83,original_512,2026-07-01,2026-07-01,True
90,original_no_candidate,NONE,2026-09-01,False
99,original_512,2026-03-07,2026-03-07,True
106,original_no_candidate,NONE,NONE-10-20,False
110,original_512,2025-10-29,2025-10-29,True
118,original_512,2026-03-23,2026-03-23,True
124,original_512,2026-01-02,2026-01-02,True
127,original_512,2026-04-27,2026-04-27,True
129,original_512,2026-01-09,2026-01-09,True
131,original_512,2026-08-05,2026-08-05,True
133,original_512,2025-11-25,2025-11-25,True
135,original_512,2026-04-18,2026-04-18,True
137,original_512,2026-03-26,2026-03-26,True
138,original_512,2026-05-14,2026-05-14,True
139,original_512,2026-07-26,2026-07-26,True
140,original_512,2026-07-14,2026-07-14,True
143,original_512,2027-03-06,2027-06-03,False
148,original_512,2026-02-26,2026-02-26,True
157,original_no_candidate,NONE,2027-07-08,False
160,highres_1024,2026-10-27,2026-10-27,True
164,original_512,2026-04-27,2026-04-27,True
172,original_512,2026-06-10,2026-06-10,True
178,original_512,2026-06-25,2026-06-25,True
182,original_512,2026-10-01,2026-10-01,True
184,original_512,2027-11-19,2027-11-19,True
189,original_512,2026-08-25,2026-08-25,True
190,original_no_candidate,NONE,2026-11-22,False
194,original_512,2027-04-23,2027-04-23,True
198,clahe,2026-05-08,2026-05-08,True
208,original_512,2026-04-13,2026-04-13,True
214,original_512,2026-08-01,2026-08-13,False
225,original_512,2026-04-06,2026-04-06,True
226,clahe,2027-03-15,2027-03-15,True
227,original_512,2028-09-17,2028-09-17,True
230,original_512,2026-03-28,2026-03-28,True
231,original_512,2023-05-27,2028-05-27,False
232,original_no_candidate,NONE,2027-11-26,False
233,clahe,2028-01-18,2028-01-13,False
241,original_512,2027-08-10,2027-08-10,True
245,original_512,2026-02-24,2026-02-24,True
247,original_512,2026-05-20,2026-05-20,True
250,original_512,2026-03-04,2026-03-04,True
251,original_512,2026-02-24,2026-02-24,True
260,original_512,2027-04-01,2027-04-01,True
266,original_512,2020-05-12,2025-12-04,False
268,original_512,2026-07-14,2026-07-14,True
275,original_512,2026-04-23,2026-04-23,True
280,original_512,2026-03-23,2026-03-23,True
283,original_512,2027-09-17,2027-09-17,True
287,original_512,2027-02-18,2027-02-18,True
292,original_512,2026-02-13,2026-02-13,True
296,original_512,2026-07-28,2026-07-28,True
299,original_512,2026-05-13,2026-05-13,True
304,original_512,2026-06-01,2026-06-01,True
311,original_512,2026-08-09,2026-08-09,True
321,original_512,2025-10-29,2025-10-29,True
324,original_512,2027-05-15,2027-05-15,True
327,original_512,2025-10-21,2025-10-21,True
331,original_512,2025-10-31,2025-10-31,True
336,original_512,2025-11-20,2025-11-20,True
342,original_512,2026-06-22,2026-06-22,True
350,original_512,2027-05-15,2027-05-15,True
352,original_512,2026-08-27,2026-08-27,True
366,original_512,2026-09-05,2026-09-05,True
368,original_no_candidate,NONE,2026-09-22,False
377,highres_1024,2026-07-01,2026-07-01,True
378,original_512,2026-05-29,2026-05-29,True
382,original_512,2026-08-18,2026-08-18,True
383,original_512,2026-04-03,2026-04-03,True
384,original_512,2026-07-08,2026-07-08,True
386,original_512,2025-06-11,2026-06-10,False
390,original_512,2026-05-19,2026-05-19,True
396,original_512,2026-02-27,2026-02-27,True
400,original_512,2026-01-11,2026-01-11,True
406,highres_1024,2026-05-27,2026-08-27,False
415,original_no_candidate,NONE,2026-05-27,False
416,original_512,2026-04-07,2026-04-07,True
421,original_512,2026-07-17,2026-07-17,True
422,original_512,2025-09-10,2026-06-09,False
423,original_512,2025-06-05,2026-06-04,False
426,original_512,2026-12-26,2026-12-26,True
432,rotation_270,2027-04-28,2027-04-28,True
438,original_no_candidate,NONE,2026-02-19,False
440,original_no_candidate,NONE,2026-08-13,False
447,original_512,2025-11-22,2025-11-22,True
453,highres_1024,2026-01-26,2026-01-26,True
462,original_512,2027-05-27,2027-05-27,True
463,original_512,2027-02-14,2027-02-14,True
466,original_512,2027-06-07,2026-04-11,False
468,original_512,2025-06-NONE,2026-04-06,False
469,original_512,2026-07-21,2026-07-21,True
473,highres_1024,2026-03-01,2026-05-21,False
485,original_512,2027-09-17,2027-09-17,True
486,original_no_candidate,NONE,2027-07-15,False
492,original_512,2026-03-12,2026-03-12,True
493,original_512,2026-06-17,2026-06-17,True
503,original_512,2026-02-18,2026-02-18,True
