image_id,truth_source,label_sources,true_final_date,pred_final_date,correct,method,first_guess,chosen_stage_text,error
7,candidate,existing_300,2026-06-25,2026-06-25,True,original_512,,"영양정보 | 260 kcal | 1일 영양성분 | 기타식용유지 | L 105 mg | 우유 돼지고기 함유 | 반628 | 5% | 질플리에틸렌 | 당478 | 47% | 19 % | 고번호19870415003402 | 지방0g | 길대두, 호두,복승아,조 | 트랜스지방 0g | 0% | 포함)혼입가능:제품을 | 그삼키지않도록 주의하세 | 포화지방0g | 플레스테를 0mg | 0% | 자기본법에 의한 피해보 | 단백질38 | 0% | 광선을 피해온·습도기 | 1일 영행영별 기준치에 대한 바(%)은 2,000 kal 기준 | 5% | 보관,개봉후가급적별 | 부청·불량식품 신고 | 이므로 개인와 필요 열향에 따라 다를 수 있습니다. | 399:고객센터:(전화 | 5700()1522-40 | ·제통 4에 수원이 않고부드러원고온에 액합니다.30도 | :본사및 구입한곳 | '이하에 보관해주시고 하결기 전인 직사공선을 피해주세요 | ·제조과생중가 거나 고은에서 길변화되이 분 | 명이리나 같은 정이 보할 수 있으나 인제에 무책합니다. | 655709 | OTHE | 소비 | 25.06.26 | 부터 | 기한 | 26.06.25 | 까지 | 22:06A03",
15,candidate,incoming_432,2026-03-01,2026-03-01,True,original_512,,"Marketo | 마켓오브리워니 | E | 소비 | 2025, 09, 02/21135 | 부터 | 기한 | 2026,03,01/A | 까지 | keto | ACE 2008 | New",
18,candidate,existing_300,2026-04-24,2026-04-24,True,original_512,,ABC | 초코쿠키 | 초코 | OAN | ABC | e  | 초코쿠키 | 2 | 쿠키앤크림 | OLOTTE | ABC | 8-801062-879096 | 초코쿠키 | 26.04.24 B | 17:20 | 쿠키앤크림 | 까지 | 바다코코닛,
21,candidate,existing_300,2025-10-10,2025-10-10,True,original_512,,호밀 발효종을 넣어 부드러운 | [쉬 | 풍미를 살린 패스쥬리 | 다25.10.10까지A신재명,
22,candidate,incoming_432,2025-10-14,2025-10-14,True,original_512,,"KIRIN |  | 고구마 | 크림빵 | 25.10.14까지1.A1.F2 | ESH SLOW BREAD | ""여출된에 | 복합 | (구마/20%) | 특허유산균 | 0산군프리믹스0.005",
26,candidate,existing_300,2025-11-13,2025-11-13,True,original_512,,59 | 콜레스테를 | 단백질 | 11.9 | 110 | 809486 | 992593 | 소비기한 | 2025.11.13 | 까지,
30,candidate,existing_300;incoming_432,2028-08-17,2028-08-17,True,original_512,,"1+1 | 3,480 | 3,480 | SPAM | SPAM | SPANI | 맛의비밀 | MA6 | 맛이 깔끔한 | 28.08.17 | 1644까지 | 로 맛있게 |  | 게부비버 | Y? | 금호수를체취 | SPAM | 파우치를 | SPAM | 시이프리스 | 열어주세요 | 세요 | 돼지고기 | /외국산:미국 | 스페인 | 안데 | 맛분말,혼 | 1산나트 | 메타인 | 난,비타민C,혼합제제( | (덱스트린,치자적색소,치자황색소 | 불제) | 돼지고기 함유 | 제일제당(주) | 진천 | 일까 | 온보관 | 30405015-210 | 포장재질 | 영양정보 | 총내용량80 g/250 kc | 나트륨410mg | 21 | % | 탄수화물2 | % | 지방22g | 포화지방 | 6g 40 | 45 | ma | 15 %",
36,candidate,incoming_432,2026-08-26,2026-08-26,True,rotation_270,," | 11:48F3 | 2026.08-26TK | 1+1 | Wxlo | 3,980 | 단호박죽 | 1+1",
44,candidate,incoming_432,2026-02-07,2026-02-07,True,highres_1024,,26.02.07까지 23:53,
50,candidate,incoming_432,2025-09-30,NONE,False,original_no_candidate,OCR 의심,"제품명 | 후레쉬미니제리(빙수용) | 영양정보 | 식품유형 | 캔디류 | 내용량200 g | 48200 | 원재료명 | 물엿,설탕,한천,딸기과습농축액,파인애플 | 100g당 348kcal | 100g당 |  |  | 1(프로필렌글리을 | 합성향료,트리아세틴),합성향료 | 나트름 | 65mg 3% | 혼합제제2(주정,천연 | 프로필렌글리콜,합성향료)혼 | 탄수화물 | 879 27% | 합제제3(프로필렌글리골,주정,합성향료,정산) 혼합제 | 당류 | 66g68% | 제4(천연향료,프로필렌글리콜,주정),홍국색소,혼합제제 | 지방 | 5글리세린지방산에스테르,정제수,3-카로틴(착색료) | 비타민타혼합제제6(치자청색소,심황색소,프로렌글 | 트랜스지방 | 0g | 리콜),혼합제제7(글리세린지방산에스테르,파프리카추 | 포화지방 | 0g | 0% | 출색소,정제수3-카로틴(착색료),비타민타) | 콜레스테를 | Omg | 소비기한 | 후면표기일까지 | 단백질 | 0g | 포장제질 | 조원 | 1일E | 달공씨앤에프/경기도파주시 정문로 |  |  | 543-1(가동) | 공과 사람의 과자 | Z | 언재길129 | (주)청우식품 | 2014035624181 |  | 제조원및 판매원 | 080-039-8585 | www.cwtod eak | 같은제조시설에 | 경우 | 질식의위험이있 | 곳을피하여 | 공정거래위원회 | 의거하여 | 교환 | 또는 보상받으실 | 신고는 | 국번없이1399 | 8 | M801204",
