image_id,image_path,image_paths_json,sources,source_record_ids,source_record_count,existing_300_records_json,existing_300_raw_year,existing_300_raw_month,existing_300_raw_day,existing_300_raw_final_date,existing_300_raw_file_name,existing_300_raw_notes,existing_300_raw_Unnamed: 7,existing_300_canonical_year,existing_300_canonical_month,existing_300_canonical_day,existing_300_canonical_final_date,incoming_432_records_json,incoming_432_raw_year,incoming_432_raw_month,incoming_432_raw_day,incoming_432_raw_final_date,incoming_432_raw_file_name,incoming_432_raw_notes,incoming_432_raw_Unnamed: 7,incoming_432_canonical_year,incoming_432_canonical_month,incoming_432_canonical_day,incoming_432_canonical_final_date,candidate_year,candidate_month,candidate_day,candidate_final_date,year,month,day,final_date,review_reason,review_status,previously_visually_reviewed,prior_review_decision,reviewer,review_note,master_eligible
7,C:\Users\jsw58\Desktop\itda-ocr\data\000007.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000007.jpg""]",existing_300,existing_300:152,1,"[{""source_record_id"": ""existing_300:152"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 152, ""image_id"": ""7"", ""raw"": {""file_name"": ""000007.jpg"", ""image_id"": ""7"", ""year"": ""2026"", ""month"": ""06"", ""day"": ""25"", ""final_date"": ""2026-06-25"", ""notes"": ""~부터, ~까지 라고 적혀있어서 날짜가 2개 나옴, 클로드도 25일인데 26으로 읽음"", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""06"", ""day"": ""25"", ""final_date"": ""2026-06-25""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2026,06,25,2026-06-25,000007.jpg,"~부터, ~까지 라고 적혀있어서 날짜가 2개 나옴, 클로드도 25일인데 26으로 읽음",,2026,06,25,2026-06-25,[],[],[],[],[],[],[],[],[],[],[],[],2026,06,25,2026-06-25,,,,,,ready_for_review,false,,,,false
15,C:\Users\jsw58\Desktop\itda-ocr\data\000015.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000015.jpg""]",incoming_432,incoming_432:2,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:2"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 2, ""image_id"": ""15"", ""raw"": {""image_id"": ""15"", ""year"": ""2026"", ""month"": ""3"", ""day"": ""1"", ""final_date"": ""2026-03-01""}, ""canonical"": {""year"": ""2026"", ""month"": ""03"", ""day"": ""01"", ""final_date"": ""2026-03-01""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month"", ""day""]}]",2026,3,1,2026-03-01,,,,2026,03,01,2026-03-01,2026,03,01,2026-03-01,,,,,,ready_for_review,false,,,,false
18,C:\Users\jsw58\Desktop\itda-ocr\data\000018.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000018.jpg""]",existing_300,existing_300:2,1,"[{""source_record_id"": ""existing_300:2"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 2, ""image_id"": ""18"", ""raw"": {""file_name"": ""000018.jpg"", ""image_id"": ""18"", ""year"": ""2026"", ""month"": ""4"", ""day"": ""24"", ""final_date"": ""2026-04-24"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""04"", ""day"": ""24"", ""final_date"": ""2026-04-24""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2026,4,24,2026-04-24,000018.jpg,,,2026,04,24,2026-04-24,[],[],[],[],[],[],[],[],[],[],[],[],2026,04,24,2026-04-24,,,,,,ready_for_review,false,,,,false
21,C:\Users\jsw58\Desktop\itda-ocr\data\000021.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000021.jpg""]",existing_300,existing_300:153,1,"[{""source_record_id"": ""existing_300:153"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 153, ""image_id"": ""21"", ""raw"": {""file_name"": ""000021.jpg"", ""image_id"": ""21"", ""year"": ""2025"", ""month"": ""10"", ""day"": ""10"", ""final_date"": ""2025-10-10"", ""notes"": ""다 -- 까지A"", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2025"", ""month"": ""10"", ""day"": ""10"", ""final_date"": ""2025-10-10""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2025,10,10,2025-10-10,000021.jpg,다 -- 까지A,,2025,10,10,2025-10-10,[],[],[],[],[],[],[],[],[],[],[],[],2025,10,10,2025-10-10,,,,,,ready_for_review,false,,,,false
22,C:\Users\jsw58\Desktop\itda-ocr\data\000022.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000022.jpg""]",incoming_432,incoming_432:3,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:3"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 3, ""image_id"": ""22"", ""raw"": {""image_id"": ""22"", ""year"": ""25"", ""month"": ""10"", ""day"": ""14"", ""final_date"": ""2025-10-14""}, ""canonical"": {""year"": ""2025"", ""month"": ""10"", ""day"": ""14"", ""final_date"": ""2025-10-14""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""year""]}]",25,10,14,2025-10-14,,,,2025,10,14,2025-10-14,2025,10,14,2025-10-14,,,,,,ready_for_review,false,,,,false
26,C:\Users\jsw58\Desktop\itda-ocr\data\000026.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000026.jpg""]",existing_300,existing_300:3,1,"[{""source_record_id"": ""existing_300:3"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 3, ""image_id"": ""26"", ""raw"": {""file_name"": ""000026.jpg"", ""image_id"": ""26"", ""year"": ""2025"", ""month"": ""11"", ""day"": ""13"", ""final_date"": ""2025-11-13"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2025"", ""month"": ""11"", ""day"": ""13"", ""final_date"": ""2025-11-13""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2025,11,13,2025-11-13,000026.jpg,,,2025,11,13,2025-11-13,[],[],[],[],[],[],[],[],[],[],[],[],2025,11,13,2025-11-13,,,,,,ready_for_review,false,,,,false
30,C:\Users\jsw58\Desktop\itda-ocr\data\000030.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000030.jpg""]",existing_300;incoming_432,existing_300:4;incoming_432:4,2,"[{""source_record_id"": ""existing_300:4"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 4, ""image_id"": ""30"", ""raw"": {""file_name"": ""000030.jpg"", ""image_id"": ""30"", ""year"": ""2028"", ""month"": ""08"", ""day"": ""17"", ""final_date"": ""2028-08-17"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2028"", ""month"": ""08"", ""day"": ""17"", ""final_date"": ""2028-08-17""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2028,08,17,2028-08-17,000030.jpg,,,2028,08,17,2028-08-17,"[{""source_record_id"": ""incoming_432:4"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 4, ""image_id"": ""30"", ""raw"": {""image_id"": ""30"", ""year"": ""28"", ""month"": ""8"", ""day"": ""17"", ""final_date"": ""2028-08-17""}, ""canonical"": {""year"": ""2028"", ""month"": ""08"", ""day"": ""17"", ""final_date"": ""2028-08-17""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""year"", ""month""]}]",28,8,17,2028-08-17,,,,2028,08,17,2028-08-17,2028,08,17,2028-08-17,,,,,,ready_for_review,false,,,,false
36,C:\Users\jsw58\Desktop\itda-ocr\data\000036.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000036.jpg""]",incoming_432,incoming_432:5,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:5"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 5, ""image_id"": ""36"", ""raw"": {""image_id"": ""36"", ""year"": ""2026"", ""month"": ""8"", ""day"": ""26"", ""final_date"": ""2026-08-26""}, ""canonical"": {""year"": ""2026"", ""month"": ""08"", ""day"": ""26"", ""final_date"": ""2026-08-26""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2026,8,26,2026-08-26,,,,2026,08,26,2026-08-26,2026,08,26,2026-08-26,,,,,,ready_for_review,false,,,,false
44,C:\Users\jsw58\Desktop\itda-ocr\data\000044.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000044.jpg""]",incoming_432,incoming_432:6,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:6"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 6, ""image_id"": ""44"", ""raw"": {""image_id"": ""44"", ""year"": ""2026"", ""month"": ""2"", ""day"": ""7"", ""final_date"": ""2026-02-07""}, ""canonical"": {""year"": ""2026"", ""month"": ""02"", ""day"": ""07"", ""final_date"": ""2026-02-07""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month"", ""day""]}]",2026,2,7,2026-02-07,,,,2026,02,07,2026-02-07,2026,02,07,2026-02-07,,,,,,ready_for_review,false,,,,false
50,C:\Users\jsw58\Desktop\itda-ocr\data\000050.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000050.jpg""]",incoming_432,incoming_432:7,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:7"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 7, ""image_id"": ""50"", ""raw"": {""image_id"": ""50"", ""year"": ""2025"", ""month"": ""9"", ""day"": ""30"", ""final_date"": ""2025-09-30""}, ""canonical"": {""year"": ""2025"", ""month"": ""09"", ""day"": ""30"", ""final_date"": ""2025-09-30""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2025,9,30,2025-09-30,,,,2025,09,30,2025-09-30,2025,09,30,2025-09-30,,,,,,ready_for_review,false,,,,false
