image_id,image_path,image_paths_json,sources,source_record_ids,source_record_count,existing_300_records_json,existing_300_raw_year,existing_300_raw_month,existing_300_raw_day,existing_300_raw_final_date,existing_300_raw_file_name,existing_300_raw_notes,existing_300_raw_Unnamed: 7,existing_300_canonical_year,existing_300_canonical_month,existing_300_canonical_day,existing_300_canonical_final_date,incoming_432_records_json,incoming_432_raw_year,incoming_432_raw_month,incoming_432_raw_day,incoming_432_raw_final_date,incoming_432_raw_file_name,incoming_432_raw_notes,incoming_432_raw_Unnamed: 7,incoming_432_canonical_year,incoming_432_canonical_month,incoming_432_canonical_day,incoming_432_canonical_final_date,candidate_year,candidate_month,candidate_day,candidate_final_date,year,month,day,final_date,review_reason,review_status,previously_visually_reviewed,prior_review_decision,reviewer,review_note,master_eligible
106,C:\Users\jsw58\Desktop\itda-ocr\data\000106.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000106.jpg""]",incoming_432,incoming_432:14,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:14"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 14, ""image_id"": ""106"", ""raw"": {""image_id"": ""106"", ""year"": ""NONE"", ""month"": ""NONE"", ""day"": ""NONE"", ""final_date"": ""NONE-NONE-NONE""}, ""canonical"": {""year"": ""NONE"", ""month"": ""NONE"", ""day"": ""NONE"", ""final_date"": ""NONE""}, ""review_reason"": [""all_none"", ""ocr_visual_review""], ""details"": [""Previously visually inspected; no confirmed decision supplied; retain pending""], ""format_changes"": [""final_date""]}]",NONE,NONE,NONE,NONE-NONE-NONE,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,all_none;ocr_visual_review,pending,true,이전 이미지 확인에서 날짜를 확실하게 판독하지 못함. NONE 확정 금지. 추가 검수 필요.,user,2026-09-23 사용자 제공 기존 이미지 판독 결과 기록. 이전 이미지 확인에서 날짜를 확실하게 판독하지 못함. NONE 확정 금지. 추가 검수 필요. 최종 정답 미확정; pending 유지.,false
157,C:\Users\jsw58\Desktop\itda-ocr\data\000157.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000157.jpg""]",existing_300;incoming_432,existing_300:10;incoming_432:25,2,"[{""source_record_id"": ""existing_300:10"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 10, ""image_id"": ""157"", ""raw"": {""file_name"": ""000157.jpg"", ""image_id"": ""157"", ""year"": ""2027"", ""month"": ""08"", ""day"": ""07"", ""final_date"": ""2027-08-07"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2027"", ""month"": ""08"", ""day"": ""07"", ""final_date"": ""2027-08-07""}, ""review_reason"": [""ocr_visual_review""], ""details"": [""Previously visually inspected; no confirmed decision supplied; retain pending""], ""format_changes"": []}]",2027,08,07,2027-08-07,000157.jpg,,,2027,08,07,2027-08-07,"[{""source_record_id"": ""incoming_432:25"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 25, ""image_id"": ""157"", ""raw"": {""image_id"": ""157"", ""year"": ""2027"", ""month"": ""7"", ""day"": ""8"", ""final_date"": ""2027-07-08""}, ""canonical"": {""year"": ""2027"", ""month"": ""07"", ""day"": ""08"", ""final_date"": ""2027-07-08""}, ""review_reason"": [""ocr_visual_review""], ""details"": [""Previously visually inspected; no confirmed decision supplied; retain pending""], ""format_changes"": [""month"", ""day""]}]",2027,7,8,2027-07-08,,,,2027,07,08,2027-07-08,,,,,,,,,ambiguous_date_order;label_conflict;ocr_visual_review,pending,true,이미지에서 08-07-2027 확인. 월·일 순서가 불확실함. 기존 라벨과 신규 라벨 중 하나를 임의로 선택하지 말 것.,user,2026-09-23 사용자 제공 기존 이미지 판독 결과 기록. 이미지에서 08-07-2027 확인. 월·일 순서가 불확실함. 기존 라벨과 신규 라벨 중 하나를 임의로 선택하지 말 것. 최종 정답 미확정; pending 유지.,false
515,C:\Users\jsw58\Desktop\itda-ocr\data\000515.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000515.jpg""]",existing_300,existing_300:27,1,"[{""source_record_id"": ""existing_300:27"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 27, ""image_id"": ""515"", ""raw"": {""file_name"": ""000515.jpg"", ""image_id"": ""515"", ""year"": ""2026"", ""month"": ""01"", ""day"": ""NONE"", ""final_date"": ""2026-01-none"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""01"", ""day"": ""NONE"", ""final_date"": ""2026-01-NONE""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": [""final_date""]}]",2026,01,NONE,2026-01-none,000515.jpg,,,2026,01,NONE,2026-01-NONE,[],[],[],[],[],[],[],[],[],[],[],[],2026,01,NONE,2026-01-NONE,,,,,partial_none,pending,false,,,,false
763,C:\Users\jsw58\Desktop\itda-ocr\data\000763.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000763.jpg""]",existing_300,existing_300:38,1,"[{""source_record_id"": ""existing_300:38"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 38, ""image_id"": ""763"", ""raw"": {""file_name"": ""000763.jpg"", ""image_id"": ""763"", ""year"": ""NONE"", ""month"": ""11"", ""day"": ""12"", ""final_date"": ""none-11-12"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""NONE"", ""month"": ""11"", ""day"": ""12"", ""final_date"": ""NONE-11-12""}, ""review_reason"": [""ambiguous_date_order"", ""partial_none""], ""details"": [""Unknown year; swapping month/day gives another valid date (candidate only)""], ""format_changes"": [""final_date""]}]",NONE,11,12,none-11-12,000763.jpg,,,NONE,11,12,NONE-11-12,[],[],[],[],[],[],[],[],[],[],[],[],NONE,11,12,NONE-11-12,,,,,ambiguous_date_order;partial_none,pending,false,,,,false
770,C:\Users\jsw58\Desktop\itda-ocr\data\000770.jpeg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000770.jpeg""]",incoming_432,incoming_432:102,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:102"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 102, ""image_id"": ""770"", ""raw"": {""image_id"": ""770"", ""year"": ""2030"", ""month"": ""4"", ""day"": ""NONE"", ""final_date"": ""2030-04-NONE""}, ""canonical"": {""year"": ""2030"", ""month"": ""04"", ""day"": ""NONE"", ""final_date"": ""2030-04-NONE""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": [""month""]}]",2030,4,NONE,2030-04-NONE,,,,2030,04,NONE,2030-04-NONE,2030,04,NONE,2030-04-NONE,,,,,partial_none,pending,false,,,,false
777,C:\Users\jsw58\Desktop\itda-ocr\data\000777.jpeg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000777.jpeg""]",incoming_432,incoming_432:103,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:103"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 103, ""image_id"": ""777"", ""raw"": {""image_id"": ""777"", ""year"": ""2026"", ""month"": ""3"", ""day"": ""NONE"", ""final_date"": ""2026-03-NONE""}, ""canonical"": {""year"": ""2026"", ""month"": ""03"", ""day"": ""NONE"", ""final_date"": ""2026-03-NONE""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": [""month""]}]",2026,3,NONE,2026-03-NONE,,,,2026,03,NONE,2026-03-NONE,2026,03,NONE,2026-03-NONE,,,,,partial_none,pending,false,,,,false
789,C:\Users\jsw58\Desktop\itda-ocr\data\000789.jpeg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000789.jpeg""]",existing_300;incoming_432,existing_300:39;incoming_432:104,2,"[{""source_record_id"": ""existing_300:39"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 39, ""image_id"": ""789"", ""raw"": {""file_name"": ""000789.jpeg"", ""image_id"": ""789"", ""year"": ""NONE"", ""month"": ""12"", ""day"": ""19"", ""final_date"": ""none-12-19"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""NONE"", ""month"": ""12"", ""day"": ""19"", ""final_date"": ""NONE-12-19""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": [""final_date""]}]",NONE,12,19,none-12-19,000789.jpeg,,,NONE,12,19,NONE-12-19,"[{""source_record_id"": ""incoming_432:104"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 104, ""image_id"": ""789"", ""raw"": {""image_id"": ""789"", ""year"": ""NONE"", ""month"": ""12"", ""day"": ""19"", ""final_date"": ""NONE-12-19""}, ""canonical"": {""year"": ""NONE"", ""month"": ""12"", ""day"": ""19"", ""final_date"": ""NONE-12-19""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": []}]",NONE,12,19,NONE-12-19,,,,NONE,12,19,NONE-12-19,NONE,12,19,NONE-12-19,,,,,partial_none,pending,false,,,,false
824,C:\Users\jsw58\Desktop\itda-ocr\data\000824.jpeg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000824.jpeg""]",incoming_432,incoming_432:108,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:108"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 108, ""image_id"": ""824"", ""raw"": {""image_id"": ""824"", ""year"": ""NONE"", ""month"": ""12"", ""day"": ""19"", ""final_date"": ""NONE-12-19""}, ""canonical"": {""year"": ""NONE"", ""month"": ""12"", ""day"": ""19"", ""final_date"": ""NONE-12-19""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": []}]",NONE,12,19,NONE-12-19,,,,NONE,12,19,NONE-12-19,NONE,12,19,NONE-12-19,,,,,partial_none,pending,false,,,,false
905,C:\Users\jsw58\Desktop\itda-ocr\data\000905.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000905.jpg""]",incoming_432,incoming_432:123,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:123"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 123, ""image_id"": ""905"", ""raw"": {""image_id"": ""905"", ""year"": ""2022"", ""month"": ""1"", ""day"": ""NONE"", ""final_date"": ""2022-01-NONE""}, ""canonical"": {""year"": ""2022"", ""month"": ""01"", ""day"": ""NONE"", ""final_date"": ""2022-01-NONE""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": [""month""]}]",2022,1,NONE,2022-01-NONE,,,,2022,01,NONE,2022-01-NONE,2022,01,NONE,2022-01-NONE,,,,,partial_none,pending,false,,,,false
907,C:\Users\jsw58\Desktop\itda-ocr\data\000907.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000907.jpg""]",existing_300,existing_300:191,1,"[{""source_record_id"": ""existing_300:191"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 191, ""image_id"": ""907"", ""raw"": {""file_name"": ""000907.jpg"", ""image_id"": ""907"", ""year"": ""2022"", ""month"": ""01"", ""day"": ""NONE"", ""final_date"": ""2022-01-NONE"", ""notes"": ""DAY가 없음, 날짜 거꾸로"", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2022"", ""month"": ""01"", ""day"": ""NONE"", ""final_date"": ""2022-01-NONE""}, ""review_reason"": [""partial_none""], ""details"": [], ""format_changes"": []}]",2022,01,NONE,2022-01-NONE,000907.jpg,"DAY가 없음, 날짜 거꾸로",,2022,01,NONE,2022-01-NONE,[],[],[],[],[],[],[],[],[],[],[],[],2022,01,NONE,2022-01-NONE,,,,,partial_none,pending,false,,,,false
