image_id,year,month,day,final_date,truth_source,label_sources
7,2026,06,25,2026-06-25,candidate,existing_300
15,2026,03,01,2026-03-01,candidate,incoming_432
18,2026,04,24,2026-04-24,candidate,existing_300
21,2025,10,10,2025-10-10,candidate,existing_300
22,2025,10,14,2025-10-14,candidate,incoming_432
26,2025,11,13,2025-11-13,candidate,existing_300
30,2028,08,17,2028-08-17,candidate,existing_300;incoming_432
36,2026,08,26,2026-08-26,candidate,incoming_432
44,2026,02,07,2026-02-07,candidate,incoming_432
50,2025,09,30,2025-09-30,candidate,incoming_432
53,2025,12,20,2025-12-20,candidate,incoming_432
58,2027,03,27,2027-03-27,candidate,existing_300
60,2026,04,30,2026-04-30,candidate,existing_300
63,2026,06,16,2026-06-16,candidate,incoming_432
71,2027,07,20,2027-07-20,candidate,incoming_432
75,2026,01,06,2026-01-06,candidate,existing_300
79,2026,01,31,2026-01-31,candidate,incoming_432
83,2026,07,01,2026-07-01,candidate,incoming_432
90,2026,09,01,2026-09-01,candidate,incoming_432
99,2026,03,07,2026-03-07,candidate,existing_300
106,NONE,10,20,NONE-10-20,approved,incoming_432
110,2025,10,29,2025-10-29,candidate,existing_300;incoming_432
118,2026,03,23,2026-03-23,candidate,incoming_432
124,2026,01,02,2026-01-02,candidate,existing_300
127,2026,04,27,2026-04-27,approved,incoming_432
129,2026,01,09,2026-01-09,candidate,incoming_432
131,2026,08,05,2026-08-05,candidate,existing_300
133,2025,11,25,2025-11-25,candidate,incoming_432
135,2026,04,18,2026-04-18,candidate,incoming_432
137,2026,03,26,2026-03-26,candidate,existing_300
138,2026,05,14,2026-05-14,candidate,incoming_432
139,2026,07,26,2026-07-26,candidate,existing_300
140,2026,07,14,2026-07-14,candidate,incoming_432
143,2027,06,03,2027-06-03,candidate,incoming_432
148,2026,02,26,2026-02-26,candidate,existing_300;incoming_432
157,2027,07,08,2027-07-08,approved,existing_300;incoming_432
160,2026,10,27,2026-10-27,candidate,incoming_432
164,2026,04,27,2026-04-27,candidate,incoming_432
172,2026,06,10,2026-06-10,candidate,incoming_432
178,2026,06,25,2026-06-25,candidate,incoming_432
182,2026,10,01,2026-10-01,candidate,incoming_432
184,2027,11,19,2027-11-19,candidate,incoming_432
189,2026,08,25,2026-08-25,candidate,existing_300
190,2026,11,22,2026-11-22,candidate,incoming_432
194,2027,04,23,2027-04-23,candidate,existing_300
198,2026,05,08,2026-05-08,candidate,incoming_432
208,2026,04,13,2026-04-13,candidate,incoming_432
214,2026,08,13,2026-08-13,candidate,incoming_432
225,2026,04,06,2026-04-06,candidate,existing_300
226,2027,03,15,2027-03-15,candidate,incoming_432
227,2028,09,17,2028-09-17,candidate,existing_300
230,2026,03,28,2026-03-28,candidate,incoming_432
231,2028,05,27,2028-05-27,candidate,incoming_432
232,2027,11,26,2027-11-26,candidate,incoming_432
233,2028,01,13,2028-01-13,candidate,incoming_432
241,2027,08,10,2027-08-10,candidate,incoming_432
245,2026,02,24,2026-02-24,candidate,existing_300
247,2026,05,20,2026-05-20,candidate,incoming_432
250,2026,03,04,2026-03-04,candidate,existing_300
251,2026,02,24,2026-02-24,candidate,incoming_432
260,2027,04,01,2027-04-01,candidate,incoming_432
266,2025,12,04,2025-12-04,candidate,existing_300
268,2026,07,14,2026-07-14,candidate,existing_300
275,2026,04,23,2026-04-23,candidate,incoming_432
280,2026,03,23,2026-03-23,candidate,existing_300
283,2027,09,17,2027-09-17,candidate,incoming_432
287,2027,02,18,2027-02-18,candidate,existing_300
292,2026,02,13,2026-02-13,candidate,existing_300
296,2026,07,28,2026-07-28,candidate,incoming_432
299,2026,05,13,2026-05-13,candidate,existing_300
304,2026,06,01,2026-06-01,candidate,incoming_432
311,2026,08,09,2026-08-09,candidate,incoming_432
321,2025,10,29,2025-10-29,candidate,existing_300
324,2027,05,15,2027-05-15,candidate,existing_300
327,2025,10,21,2025-10-21,candidate,existing_300;incoming_432
331,2025,10,31,2025-10-31,candidate,existing_300
